---,ra,dec,dist,mag,spect,ci,x,y,z,lum,proper,hip,bf,gl
0,6.752481,-16.716116,2.6371,-1.44,A0m...,0.009,-0.494323,2.476731,-0.758485,22.824432,Sirius,32349,9Alp CMa,Gl 244A
1,6.399195,-52.69566,94.786697,-0.62,F0Ib,0.164,-5.992679,57.132034,-75.396103,13854.79199,Canopus,30438,Alp Car,
2,14.26103,19.182409,11.2575,-0.05,K2IIIp,1.239,-8.823448,-5.932531,3.698938,115.557999,Arcturus,69673,16Alp Boo,Gl 541
3,14.660765,-60.833977,1.3248,-0.01,G2V,0.71,-0.495203,-0.414084,-1.156625,1.543121,Rigil Kentaurus,71683,Alp1Cen,Gl 559A
4,18.615641,38.783691,7.6787,0.03,A0Vvar,-0.001,0.960565,-5.908009,4.809731,49.934418,Vega,91262,3Alp Lyr,Gl 721
5,5.27815,45.99799,13.1234,0.08,M1: comp,0.795,1.712633,8.954439,9.440007,139.315674,Capella,24608,13Alp Aur,Gl 194A
6,5.242298,-8.20164,264.550293,0.18,B8Ia,-0.03,51.601105,256.7099,-37.740051,51665.42578,Rigel,24436,19Bet Ori,
7,7.655033,5.224993,3.5142,0.4,F5IV-V,0.432,-1.469312,3.17617,0.320024,7.440464,Procyon,37279,10Alp CMi,Gl 280A
8,1.628556,-57.236755,42.7533,0.45,B3Vp,-0.158,21.065573,9.568417,-35.951965,1051.961914,Achernar,7588,Alp Eri,
9,5.919529,7.407063,152.671799,0.45,M2Ib,1.5,3.189296,151.36438,19.682142,90000,Betelgeuse,27989,58Alp Ori,
10,14.063729,-60.373039,120.192299,0.61,B1III,-0.231,-50.954052,-30.56287,-104.478699,7171.334961,Hadar,68702,Bet Cen,